SampID,cruise,exp,treatment,rep,Fragment_mz,nM.per.hour.1,mean.rate,pval,signif,order
TN397_UCH1_DMSP_A,TN397,UCH1,DMSP,A,78.0399,0.01046931829311651,0.01154439618452989,3.3306690738754696e-16,Significant (p < 0.05),3
TN397_UCH1_DMSP_B,TN397,UCH1,DMSP,B,78.0399,0.01499788471083181,0.01154439618452989,3.3306690738754696e-16,Significant (p < 0.05),3
TN397_UCH1_DMSP_C,TN397,UCH1,DMSP,C,78.0399,0.00916598554964135,0.01154439618452989,3.3306690738754696e-16,Significant (p < 0.05),3
TN397_UCH1_GBT_A,TN397,UCH1,GBT,A,78.0399,0.01305929696016303,0.015573113918097743,3.331801501360587e-11,Significant (p < 0.05),3
TN397_UCH1_GBT_B,TN397,UCH1,GBT,B,78.0399,0.01584615773041424,0.015573113918097743,3.331801501360587e-11,Significant (p < 0.05),3
TN397_UCH1_GBT_C,TN397,UCH1,GBT,C,78.0399,0.01781388706371596,0.015573113918097743,3.331801501360587e-11,Significant (p < 0.05),3
TN397_UCH1_Gluc_A,TN397,UCH1,Gluc,A,78.0399,0.09760059900166353,0.09394831867595548,NA,Glucose Control,1
TN397_UCH1_Gluc_B,TN397,UCH1,Gluc,B,78.0399,0.09816198272176732,0.09394831867595548,NA,Glucose Control,1
TN397_UCH1_Gluc_C,TN397,UCH1,Gluc,C,78.0399,0.08608237430443559,0.09394831867595548,NA,Glucose Control,1
TN397_UCH1_TMAO_A,TN397,UCH1,TMAO,A,78.0399,0.06802415464699711,0.07594197744874867,0.004907538516725873,Significant (p < 0.05),3
TN397_UCH1_TMAO_B,TN397,UCH1,TMAO,B,78.0399,0.08357098058104749,0.07594197744874867,0.004907538516725873,Significant (p < 0.05),3
TN397_UCH1_TMAO_C,TN397,UCH1,TMAO,C,78.0399,0.07623079711820142,0.07594197744874867,0.004907538516725873,Significant (p < 0.05),3
TN397_UCH1_Trig_A,TN397,UCH1,Trig,A,78.0399,0.0189761686811228,0.022053305946269697,1.573584313963039e-7,Significant (p < 0.05),3
TN397_UCH1_Trig_B,TN397,UCH1,Trig,B,78.0399,0.02255928146558796,0.022053305946269697,1.573584313963039e-7,Significant (p < 0.05),3
TN397_UCH1_Trig_C,TN397,UCH1,Trig,C,78.0399,0.02462446769209833,0.022053305946269697,1.573584313963039e-7,Significant (p < 0.05),3
RC104_UCH1_Con_A,RC104,UCH1,Con,A,78.0399,0.07459126402323928,0.0719434341521184,0.42490100871416125,Not Significant (p > 0.05),2
RC104_UCH1_Con_B,RC104,UCH1,Con,B,78.0399,0.05723625582758777,0.0719434341521184,0.42490100871416125,Not Significant (p > 0.05),2
RC104_UCH1_Con_C,RC104,UCH1,Con,C,78.0399,0.08400278260552814,0.0719434341521184,0.42490100871416125,Not Significant (p > 0.05),2
RC104_UCH1_DMSP_A,RC104,UCH1,DMSP,A,78.0399,0.02770412105272219,0.027371961793564128,1.0877909513029582e-4,Significant (p < 0.05),3
RC104_UCH1_DMSP_B,RC104,UCH1,DMSP,B,78.0399,0.02481763018676341,0.027371961793564128,1.0877909513029582e-4,Significant (p < 0.05),3
RC104_UCH1_DMSP_C,RC104,UCH1,DMSP,C,78.0399,0.02959413414120678,0.027371961793564128,1.0877909513029582e-4,Significant (p < 0.05),3
RC104_UCH1_GBT_A,RC104,UCH1,GBT,A,78.0399,0.03215524592032742,0.031328632939772415,3.465889126115229e-4,Significant (p < 0.05),3
RC104_UCH1_GBT_B,RC104,UCH1,GBT,B,78.0399,0.02765481541885273,0.031328632939772415,3.465889126115229e-4,Significant (p < 0.05),3
RC104_UCH1_GBT_C,RC104,UCH1,GBT,C,78.0399,0.0341758374801371,0.031328632939772415,3.465889126115229e-4,Significant (p < 0.05),3
RC104_UCH1_Gluc_A,RC104,UCH1,Gluc,A,78.0399,0.06297881811412158,0.06280308238217369,NA,Glucose Control,1
RC104_UCH1_Gluc_B,RC104,UCH1,Gluc,B,78.0399,0.0642207693937519,0.06280308238217369,NA,Glucose Control,1
RC104_UCH1_Gluc_C,RC104,UCH1,Gluc,C,78.0399,0.06120965963864761,0.06280308238217369,NA,Glucose Control,1
RC104_UCH1_Hom_A,RC104,UCH1,Hom,A,78.0399,0.0316515540666997,0.02812577868720908,1.429384927315036e-4,Significant (p < 0.05),3
RC104_UCH1_Hom_B,RC104,UCH1,Hom,B,78.0399,0.02388554477446568,0.02812577868720908,1.429384927315036e-4,Significant (p < 0.05),3
RC104_UCH1_Hom_C,RC104,UCH1,Hom,C,78.0399,0.02884023722046185,0.02812577868720908,1.429384927315036e-4,Significant (p < 0.05),3
RC104_UCH1_TMAO_A,RC104,UCH1,TMAO,A,78.0399,0.06456043663976478,0.056265624818041884,0.7190251115856171,Not Significant (p > 0.05),2
RC104_UCH1_TMAO_B,RC104,UCH1,TMAO,B,78.0399,0.04756304499541154,0.056265624818041884,0.7190251115856171,Not Significant (p > 0.05),2
RC104_UCH1_TMAO_C,RC104,UCH1,TMAO,C,78.0399,0.05667339281894934,0.056265624818041884,0.7190251115856171,Not Significant (p > 0.05),2
RC104_UCH1_Trig_A,RC104,UCH1,Trig,A,78.0399,0.04017054808105121,0.042973512722537285,0.016120913266555292,Significant (p < 0.05),3
RC104_UCH1_Trig_B,RC104,UCH1,Trig,B,78.0399,0.05044289665012922,0.042973512722537285,0.016120913266555292,Significant (p < 0.05),3
RC104_UCH1_Trig_C,RC104,UCH1,Trig,C,78.0399,0.03830709343643143,0.042973512722537285,0.016120913266555292,Significant (p < 0.05),3
