cruise,exp,Compound,Fragment_mz,mean.enviro.nM,sd.environ.nM
RC078,UKG1,Glycine betaine,45.1882,0.7701158523227929,0.09615768830459245
RC078,UKG1,Glycine betaine,62.8977,0.6931105578760371,0.06674858534180209
RC078,UKH1,Homarine,78.0399,1.1157990715378803,0.13861991240842042
RC078,UKH1,Homarine,97.0954,1.4569790017164952,0.23222884055780804
RC078,UKH2,Homarine,78.0399,2.1684065207050063,0.8614813258926658
RC078,UKH2,Homarine,97.0954,3.0900667541515885,1.2480857339471227
RC104,UCH1,Homarine,78.0399,0.7769779708581938,0.08934462705584736
RC104,UCH1,Homarine,97.0954,1.076483573559074,0.15766178790386207
RC104,UKG1,Glycine betaine,45.1882,0.06899799531598086,0.013608822949931976
RC104,UKG1,Glycine betaine,62.8977,0.0657268366445868,0.012193679533290414
RC104,UKH1,Homarine,78.0399,0.7609142171899929,0.10305078912127667
RC104,UKH1,Homarine,97.0954,0.9100436249289796,0.17505546168667302
TN397,UCH1,Homarine,78.0399,0.03860570629052998,0.014437526183648628
TN397,UCH1,Homarine,97.0954,0.03979016455918214,0.014734937027569915
TN397,UKH1,Homarine,78.0399,0.01986700375518723,0.012912007987152084
TN397,UKH1,Homarine,97.0954,0.020519671707940675,0.013571266367173939
TN397,UKH2,Homarine,78.0399,0.05043908760254746,0.012594179346660813
TN397,UKH2,Homarine,97.0954,0.05385643644035267,0.013717009701834584
TN397,UKH3,Homarine,78.0399,0.31131557396733706,0.025284218405619997
TN397,UKH3,Homarine,97.0954,0.341758098701199,0.03354809835405233
TN397,UKH4,Homarine,78.0399,0.45662934034885183,0.029496889837122488
TN397,UKH4,Homarine,97.0954,0.510538774063592,0.044095875100275746
TN397,UKH5,Homarine,78.0399,0.366781796526514,0.026242209642346328
TN397,UKH5,Homarine,97.0954,0.39837657186728775,0.03876811945262513
TN412,UKG,Glycine betaine,45.1882,0.15115974628783133,0.06741953746845056
TN412,UKG,Glycine betaine,62.8977,0.15043886357098793,0.06539252809706711
