SampID,Organism,Batch,Compound,min.area.flag,blk.flag,uM.in.vial.ave,uM_C_vial,uM_N_vial
220111_Smp_SA11_A_pos,SA11,Bacteria,beta-Alaninebetaine,NA,NA,0.25152572396470885,1.509154343788253,0.25152572396470885
220111_Smp_SA11_B_pos,SA11,Bacteria,beta-Alaninebetaine,NA,NA,0.31907404272130013,1.9144442563278008,0.31907404272130013
220111_Smp_SA11_C_pos,SA11,Bacteria,beta-Alaninebetaine,NA,NA,0.27843300506091256,1.6705980303654755,0.27843300506091256
220111_Smp_SA16_A_pos,SA16,Bacteria,beta-Alaninebetaine,NA,NA,0.31176198821531004,1.8705719292918603,0.31176198821531004
220111_Smp_SA16_B_pos,SA16,Bacteria,beta-Alaninebetaine,NA,NA,0.3284397804551304,1.9706386827307825,0.3284397804551304
220111_Smp_SA16_C_pos,SA16,Bacteria,beta-Alaninebetaine,NA,NA,0.319714423937231,1.918286543623386,0.319714423937231
220111_Smp_SA36_B_pos,SA36,Bacteria,beta-Alaninebetaine,NA,NA,0.00433386354099542,0.02600318124597257,0.00433386354099542
220111_Smp_SA44_B_pos,SA44,Bacteria,beta-Alaninebetaine,NA,NA,0.01088670911732034,0.06532025470392208,0.01088670911732034
220111_Smp_SA44_C_pos,SA44,Bacteria,beta-Alaninebetaine,NA,NA,0.00718933304865626,0.04313599829193761,0.00718933304865626
220111_Smp_SA48_A_pos,SA48,Bacteria,beta-Alaninebetaine,NA,Flag,7.909071500503492e-4,0.00474544290030209,7.909071500503492e-4
220111_Smp_SA48_B_pos,SA48,Bacteria,beta-Alaninebetaine,NA,NA,0.03865842159897469,0.23195052959384813,0.03865842159897469
220111_Smp_SA48_C_pos,SA48,Bacteria,beta-Alaninebetaine,NA,NA,0.07387493123021814,0.4432495873813088,0.07387493123021814
220111_Smp_SA53_A_pos,SA53,Bacteria,beta-Alaninebetaine,NA,NA,0.10584765800090432,0.6350859480054258,0.10584765800090432
220111_Smp_SA53_B_pos,SA53,Bacteria,beta-Alaninebetaine,NA,NA,0.13115268645055142,0.7869161187033085,0.13115268645055142
220111_Smp_SA53_C_pos,SA53,Bacteria,beta-Alaninebetaine,NA,NA,0.1325986816942482,0.7955920901654893,0.1325986816942482
220111_Smp_SA59_A_pos,SA59,Bacteria,beta-Alaninebetaine,NA,NA,0.02036076602609606,0.1221645961565764,0.02036076602609606
220111_Smp_SA59_B_pos,SA59,Bacteria,beta-Alaninebetaine,NA,NA,0.01354440487902232,0.08126642927413391,0.01354440487902232
220111_Smp_SA59_C_pos,SA59,Bacteria,beta-Alaninebetaine,NA,NA,0.01377310520387079,0.08263863122322476,0.01377310520387079
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Betonicine,NA,NA,0.00219774113519723,0.01538418794638066,0.00219774113519723
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Betonicine,NA,NA,0.00571963279537855,0.0400374295676499,0.00571963279537855
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Betonicine,NA,NA,0.00733236570802557,0.051326559956179,0.00733236570802557
220111_Smp_SA11_A_pos,SA11,Bacteria,Betonicine,NA,NA,0.00169559963844978,0.01186919746914852,0.00169559963844978
220111_Smp_SA11_B_pos,SA11,Bacteria,Betonicine,NA,NA,0.0020353893288998,0.01424772530229861,0.0020353893288998
220111_Smp_SA11_C_pos,SA11,Bacteria,Betonicine,NA,NA,6.175540962777563e-4,0.00432287867394429,6.175540962777563e-4
220111_Smp_SA16_C_pos,SA16,Bacteria,Betonicine,NA,NA,3.6799523884033095e-4,0.00257596667188231,3.6799523884033095e-4
220111_Smp_SA48_C_pos,SA48,Bacteria,Betonicine,NA,NA,6.866578539915767e-4,0.00480660497794103,6.866578539915767e-4
220111_Smp_SA53_A_pos,SA53,Bacteria,Betonicine,NA,NA,9.319354828059108e-4,0.00652354837964137,9.319354828059108e-4
220111_Smp_SA53_B_pos,SA53,Bacteria,Betonicine,NA,NA,0.00138984308903272,0.00972890162322907,0.00138984308903272
220111_Smp_SA53_C_pos,SA53,Bacteria,Betonicine,NA,NA,9.07167393287046e-4,0.00635017175300932,9.07167393287046e-4
220111_Smp_SCM1_Exp1_pos,Nmar,Bacteria,Betonicine,NA,NA,0.001463405365512,0.01024383755858402,0.001463405365512
220111_Smp_SCM1_Exp2_pos,Nmar,Bacteria,Betonicine,NA,NA,0.00105767030840293,0.00740369215882055,0.00105767030840293
220111_Smp_SCM1_Exp3_pos,Nmar,Bacteria,Betonicine,Flag,NA,3.217323611348272e-4,0.00225212652794379,3.217323611348272e-4
220111_Smp_SCM1_St1_pos,Nmar,Bacteria,Betonicine,NA,NA,0.00236071345699295,0.01652499419895071,0.00236071345699295
220111_Smp_SCM1_St2_pos,Nmar,Bacteria,Betonicine,NA,NA,0.00626227524020457,0.043835926681432,0.00626227524020457
220111_Smp_SCM1_St3_pos,Nmar,Bacteria,Betonicine,Flag,NA,2.3805798023904465e-4,0.00166640586167331,2.3805798023904465e-4
220111_Smp_SCM1_St4_pos,Nmar,Bacteria,Betonicine,NA,NA,0.0042238128821704,0.02956669017519283,0.0042238128821704
220111_Smp_SA11_A_pos,SA11,Bacteria,Dimethylsulfoniopropionate,NA,NA,0.00158673293211121,0.00793366466055607,NA
220111_Smp_SA11_B_pos,SA11,Bacteria,Dimethylsulfoniopropionate,NA,NA,0.00632758461306733,0.03163792306533666,NA
220111_Smp_SA11_C_pos,SA11,Bacteria,Dimethylsulfoniopropionate,NA,NA,0.00370618749864272,0.01853093749321362,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,Dimethylsulfoniopropionate,NA,NA,0.00392470120048577,0.01962350600242888,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,Dimethylsulfoniopropionate,NA,NA,0.00291007379701119,0.01455036898505599,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,Dimethylsulfoniopropionate,NA,NA,0.00284429999895836,0.01422149999479181,NA
220111_Smp_SA42_A_pos,SA42,Bacteria,Dimethylsulfoniopropionate,NA,NA,1.2249562341667823,6.124781170833912,NA
220111_Smp_SCM1_St2_pos,Nmar,Bacteria,Dimethylsulfoniopropionate,NA,NA,6.707137016774489e-4,0.00335356850838724,NA
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Glycine betaine,NA,NA,1.8920518335459824,9.460259167729912,1.8920518335459824
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Glycine betaine,NA,NA,2.080660571155218,10.403302855776094,2.080660571155218
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Glycine betaine,NA,NA,1.6681989295668858,8.340994647834428,1.6681989295668858
220111_Smp_SA7_A_pos,SA7,Bacteria,Glycine betaine,NA,NA,0.7509627802597569,3.754813901298785,0.7509627802597569
220111_Smp_SA7_B_pos,SA7,Bacteria,Glycine betaine,NA,NA,1.3208694684981661,6.604347342490829,1.3208694684981661
220111_Smp_SA7_C_pos,SA7,Bacteria,Glycine betaine,NA,NA,0.6149798004691491,3.0748990023457456,0.6149798004691491
220111_Smp_SA16_A_pos,SA16,Bacteria,Glycine betaine,NA,NA,0.3743375272494419,1.8716876362472097,0.3743375272494419
220111_Smp_SA16_B_pos,SA16,Bacteria,Glycine betaine,NA,NA,0.4112903346042676,2.0564516730213382,0.4112903346042676
220111_Smp_SA16_C_pos,SA16,Bacteria,Glycine betaine,NA,NA,0.36399207310712767,1.8199603655356384,0.36399207310712767
220111_Smp_SA36_A_pos,SA36,Bacteria,Glycine betaine,NA,NA,0.4281672608636879,2.14083630431844,0.4281672608636879
220111_Smp_SA36_B_pos,SA36,Bacteria,Glycine betaine,NA,NA,0.5075449716168483,2.5377248580842418,0.5075449716168483
220111_Smp_SA36_C_pos,SA36,Bacteria,Glycine betaine,NA,NA,0.40757432881001465,2.0378716440500733,0.40757432881001465
220111_Smp_SA44_B_pos,SA44,Bacteria,Glycine betaine,NA,NA,0.5357606173939102,2.678803086969551,0.5357606173939102
220111_Smp_SA44_C_pos,SA44,Bacteria,Glycine betaine,NA,NA,0.5948893770185241,2.9744468850926205,0.5948893770185241
220111_Smp_SA53_A_pos,SA53,Bacteria,Glycine betaine,NA,NA,0.31170666431320004,1.5585333215660002,0.31170666431320004
220111_Smp_SA53_B_pos,SA53,Bacteria,Glycine betaine,NA,NA,0.3278500953210848,1.639250476605424,0.3278500953210848
220111_Smp_SA53_C_pos,SA53,Bacteria,Glycine betaine,NA,NA,0.34046704265598693,1.7023352132799348,0.34046704265598693
220111_Smp_SA55_A_pos,SA55,Bacteria,Glycine betaine,NA,NA,1.221818949242,6.109094746209999,1.221818949242
220111_Smp_SA55_B_pos,SA55,Bacteria,Glycine betaine,NA,NA,1.4973297259424427,7.486648629712214,1.4973297259424427
220111_Smp_SA55_C_pos,SA55,Bacteria,Glycine betaine,NA,NA,0.8000675265094436,4.000337632547218,0.8000675265094436
220111_Smp_SA59_A_pos,SA59,Bacteria,Glycine betaine,NA,NA,0.6049867825305961,3.0249339126529806,0.6049867825305961
220111_Smp_SA59_B_pos,SA59,Bacteria,Glycine betaine,NA,NA,0.6173610148651759,3.0868050743258797,0.6173610148651759
220111_Smp_SA59_C_pos,SA59,Bacteria,Glycine betaine,NA,NA,0.7203673728782471,3.6018368643912355,0.7203673728782471
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Homarine,NA,NA,2.610697311425671e-4,0.00182748811799796,2.610697311425671e-4
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Homarine,NA,NA,1.595300262673958e-4,0.00111671018387177,1.595300262673958e-4
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Homarine,Flag,Flag,0,0,0
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Proline betaine,NA,NA,5.801184299403625e-4,0.00406082900958253,5.801184299403625e-4
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Proline betaine,NA,NA,4.470202128486437e-4,0.0031291414899405,4.470202128486437e-4
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Proline betaine,NA,NA,9.225872520119276e-4,0.00645811076408349,9.225872520119276e-4
220111_Smp_SA11_A_pos,SA11,Bacteria,Proline betaine,NA,NA,8.190111968118242e-4,0.00573307837768276,8.190111968118242e-4
220111_Smp_SA11_B_pos,SA11,Bacteria,Proline betaine,NA,NA,0.00126199830395597,0.00883398812769179,0.00126199830395597
220111_Smp_SA11_C_pos,SA11,Bacteria,Proline betaine,NA,NA,4.13686937931579e-4,0.00289580856552105,4.13686937931579e-4
220111_Smp_SA16_A_pos,SA16,Bacteria,Proline betaine,NA,NA,0.00589598519883261,0.04127189639182831,0.00589598519883261
220111_Smp_SA16_B_pos,SA16,Bacteria,Proline betaine,NA,NA,0.00132339718234793,0.00926378027643554,0.00132339718234793
220111_Smp_SA16_C_pos,SA16,Bacteria,Proline betaine,NA,NA,0.00209449376575637,0.01466145636029461,0.00209449376575637
220111_Smp_SA36_A_pos,SA36,Bacteria,Proline betaine,NA,NA,9.443282124502296e-4,0.0066102974871516,9.443282124502296e-4
220111_Smp_SA36_B_pos,SA36,Bacteria,Proline betaine,NA,NA,0.00164400330606043,0.01150802314242301,0.00164400330606043
220111_Smp_SA36_C_pos,SA36,Bacteria,Proline betaine,NA,NA,0.00148486319940022,0.01039404239580156,0.00148486319940022
220111_Smp_SA42_A_pos,SA42,Bacteria,Proline betaine,NA,NA,0.00218812454893516,0.01531687184254613,0.00218812454893516
220111_Smp_SA44_B_pos,SA44,Bacteria,Proline betaine,NA,NA,0.00543621258073083,0.03805348806511585,0.00543621258073083
220111_Smp_SA44_C_pos,SA44,Bacteria,Proline betaine,NA,NA,0.00474429004435729,0.03321003031050107,0.00474429004435729
220111_Smp_SA48_A_pos,SA48,Bacteria,Proline betaine,NA,NA,6.129275156927093e-4,0.00429049260984896,6.129275156927093e-4
220111_Smp_SA48_B_pos,SA48,Bacteria,Proline betaine,NA,NA,7.202230224249781e-4,0.00504156115697484,7.202230224249781e-4
220111_Smp_SA48_C_pos,SA48,Bacteria,Proline betaine,NA,NA,0.00136486541479395,0.00955405790355769,0.00136486541479395
220111_Smp_SA53_A_pos,SA53,Bacteria,Proline betaine,NA,NA,0.00253670031799677,0.01775690222597742,0.00253670031799677
220111_Smp_SA53_B_pos,SA53,Bacteria,Proline betaine,NA,NA,0.00306859191257225,0.02148014338800576,0.00306859191257225
220111_Smp_SA53_C_pos,SA53,Bacteria,Proline betaine,NA,NA,0.00295717736748553,0.02070024157239873,0.00295717736748553
220111_Smp_SA55_A_pos,SA55,Bacteria,Proline betaine,NA,NA,1.793156606585177e-4,0.00125520962460962,1.793156606585177e-4
220111_Smp_SA55_B_pos,SA55,Bacteria,Proline betaine,NA,NA,2.3236904652913857e-4,0.00162658332570397,2.3236904652913857e-4
220111_Smp_SA55_C_pos,SA55,Bacteria,Proline betaine,Flag,Flag,0,0,0
220111_Smp_SA59_A_pos,SA59,Bacteria,Proline betaine,Flag,NA,1.4129905631897287e-4,9.890933942328102e-4,1.4129905631897287e-4
220111_Smp_SA59_B_pos,SA59,Bacteria,Proline betaine,NA,NA,6.526899850371481e-4,0.00456882989526003,6.526899850371481e-4
220111_Smp_SA59_C_pos,SA59,Bacteria,Proline betaine,NA,NA,2.0851700732363903e-4,0.00145961905126547,2.0851700732363903e-4
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Trigonelline,NA,NA,3.9045971620591327e-4,0.00273321801344139,3.9045971620591327e-4
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Trigonelline,NA,NA,3.278201464918728e-4,0.0022947410254431,3.278201464918728e-4
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Trigonelline,NA,NA,2.8566160462815347e-4,0.00199963123239707,2.8566160462815347e-4
220111_Smp_SA7_A_pos,SA7,Bacteria,Trigonelline,NA,NA,3.503251767820517e-4,0.00245227623747436,3.503251767820517e-4
220111_Smp_SA7_B_pos,SA7,Bacteria,Trigonelline,NA,NA,4.213145563507217e-4,0.00294920189445505,4.213145563507217e-4
220111_Smp_SA7_C_pos,SA7,Bacteria,Trigonelline,NA,NA,8.002082396468889e-4,0.00560145767752822,8.002082396468889e-4
220111_Smp_SA11_A_pos,SA11,Bacteria,Trigonelline,NA,NA,4.6733555176405386e-4,0.00327134886234837,4.6733555176405386e-4
220111_Smp_SA11_B_pos,SA11,Bacteria,Trigonelline,NA,NA,0.0010408235265382201,0.00728576468576759,0.0010408235265382201
220111_Smp_SA11_C_pos,SA11,Bacteria,Trigonelline,Flag,NA,1.111900349837176e-4,7.783302448860232e-4,1.111900349837176e-4
